gene,raw_identifier,n_masked,neural_r,knn_r,delta_r,neural_mse,knn_mse,delta_mse
PRKCI,PRKCI,96,0.7365594,0.83322823,-0.09666884,0.20997639000415802,0.1302570253610611,-0.07971936464309692
BAALC,BAALC,106,0.8416214,0.93834066,-0.096719265,0.3077811896800995,0.13767331838607788,-0.1701078712940216
LAPTM4B,LAPTM4B,104,0.8149576,0.9116954,-0.0967378,0.3998248279094696,0.22152218222618103,-0.17830264568328857
P2RY1,P2RY1,106,0.7685967,0.865377,-0.0967803,0.3628438413143158,0.2336883544921875,-0.1291554868221283
C20orf62,C20orf62,106,0.8085489,0.90532976,-0.09678084,0.31508737802505493,0.16504839062690735,-0.15003898739814758
FAM138D,FAM138D,130,0.8414271,0.9383613,-0.0969342,0.35928621888160706,0.16965043544769287,-0.18963578343391418
NPBWR1,NPBWR1,108,0.8490933,0.94604677,-0.09695345,0.4347204566001892,0.15608149766921997,-0.27863895893096924
FAM203B,FAM203B,103,0.8171667,0.9141319,-0.096965194,0.22382691502571106,0.11328636854887009,-0.11054054647684097
MIR4661,MIR4661,102,0.81605536,0.9130817,-0.09702635,0.8228131532669067,0.4096185266971588,-0.4131946265697479
ZNF704,ZNF704,104,0.85948557,0.95665205,-0.09716648,0.2947216033935547,0.09453586488962173,-0.20018573850393295
TFB2M,TFB2M,99,0.76566035,0.862955,-0.09729463,0.3824000954627991,0.24410544335842133,-0.13829465210437775
RN7SL826P,RN7SL826P,111,0.8302016,0.9275004,-0.0972988,0.3881986439228058,0.18729230761528015,-0.20090633630752563
ZFHX4,ZFHX4,99,0.8629114,0.9602808,-0.09736937,0.30890125036239624,0.10098741203546524,-0.207913838326931
ATP13A5,ATP13A5,106,0.80666965,0.9041911,-0.097521424,0.2136315256357193,0.11333797872066498,-0.10029354691505432
BICD1,BICD1,115,0.5966865,0.6942532,-0.097566724,0.18673233687877655,0.13314750790596008,-0.05358482897281647
TMEM70,TMEM70,86,0.86275035,0.9604278,-0.09767747,0.2551785707473755,0.07865254580974579,-0.1765260249376297
LOR,LOR,102,0.8109844,0.90869457,-0.09771019,0.25649842619895935,0.12953834235668182,-0.12696008384227753
TMEM64,TMEM64,100,0.807083,0.90485114,-0.09776813,0.4468567669391632,0.22895562648773193,-0.21790114045143127
RN7SKP184,RN7SKP184,119,0.8103691,0.90814054,-0.097771466,0.4045203924179077,0.21388718485832214,-0.19063320755958557
